onset,index,event,diameter,diameter_3d,interpolated,orig_idx,diameter_pc,diameter_3dpc,diameter_m,diameter_3dm,reject
54,19054.0,2.5,43.565443104864364,6.017909916625592,0.0,1586263728.6545844,-0.248443523934327,-0.224373482141039,-0.11301991416865403,-0.014391012313625894,0.0
55,19055.0,2.5,43.566527850235225,6.0180740653839395,0.0,1586263728.6628401,-0.24382429828059954,-0.2199169323989106,-0.11193516879780319,-0.014226863555275908,0.0
56,19056.0,2.5,43.56759277009683,6.018239119232965,0.0,1586263728.6710575,-0.2391984563251109,-0.21543654788120084,-0.11087024893619256,-0.014061809706251528,0.0
57,19057.0,2.5,43.568641572527476,6.018405167886906,0.0,1586263728.6795235,-0.23456500525067722,-0.21093400597346984,-0.10982144650555625,-0.01389576105231202,0.0
58,19058.0,2.5,43.56967406186779,6.01857170746564,0.0,1586263728.687771,-0.22993124617116098,-0.20641935362502536,-0.10878895716523024,-0.013729221473575226,0.0
59,19059.0,2.5,43.570685876327815,6.018737622735105,0.0,1586263728.696258,-0.22531290482885488,-0.20191091408630885,-0.10777714270520823,-0.013563306204112103,0.0
60,19060.0,2.5,43.57166818324427,6.018901165556646,0.0,1586263728.7046437,-0.22073464167193738,-0.1974355795479844,-0.10679483578874241,-0.01339976338257219,0.0
61,19061.0,2.5,43.572607477369345,6.019059946559901,0.0,1586263728.7131965,-0.21623057969920265,-0.19302917080438095,-0.10585554166366483,-0.013240982379315088,0.0
62,19062.0,2.5,43.57348566216425,6.019210963651105,0.0,1586263728.7213137,-0.21184434470712687,-0.18873637310354627,-0.10497735686877879,-0.01308996528811052,0.0
63,19063.0,2.5,43.57428046843781,6.019350673959087,0.0,1586263728.729945,-0.2076284070036296,-0.18461004747726315,-0.10418255059521199,-0.012950254980130301,0.0
64,19064.0,2.5,43.57496613899976,6.019475099109483,0.0,1586263728.738593,-0.20364285368568194,-0.18071003888886505,-0.10349688003326445,-0.012825829829735635,0.0
65,19065.0,2.5,43.57551431228464,6.019579955751354,0.0,1586263728.7468112,-0.1999537680333051,-0.177101616578903,-0.10294870674838043,-0.0127209731878639,0.0
66,19066.0,2.5,43.57589510760681,6.01966081260009,0.0,1586263728.7552583,-0.19663121991061863,-0.17385352064436105,-0.1025679114262046,-0.012640116339126333,0.0
67,19067.0,2.5,43.57607842367903,6.019713274440999,0.0,1586263728.7637143,-0.19374675341321063,-0.17103552385306817,-0.1023845953539959,-0.012587654498218075,0.0
68,19068.0,2.5,43.576035403016505,6.01973318462545,0.0,1586263728.7717357,-0.19137031305026717,-0.16871549209377915,-0.10242761601652349,-0.012567744313767651,0.0
69,19069.0,2.5,43.57573993373548,6.019716828067383,0.0,1586263728.7803464,-0.18956679609196356,-0.1669561344125358,-0.10272308529753799,-0.012584100871833452,0.0
70,19070.0,2.5,43.57517002389117,6.01966111437431,0.0,1586263728.788417,-0.1883926528298673,-0.16581181141201143,-0.10329299514184279,-0.012639814564907533,0.0
71,19071.0,2.5,43.574308899672204,6.019563724380826,0.0,1586263728.7970684,-0.18789298579847755,-0.16532577366577936,-0.10415411936081682,-0.01273720455839027,0.0
72,19072.0,2.5,43.573145648039684,6.019423197686888,0.0,1586263728.8053293,-0.18809964394346887,-0.1655282732300131,-0.10531737099333552,-0.012877731252329872,0.0
73,19073.0,2.5,43.57167522018902,6.019238935121016,0.0,1586263728.8139071,-0.18903081793985743,-0.1664360618569532,-0.10678779884400195,-0.01306199381819959,0.0
74,19074.0,2.5,43.5698978421248,6.019011120086708,0.0,1586263728.8225517,-0.19069213071238425,-0.16805332303745987,-0.10856517690822151,-0.013289808852509773,0.0
75,19075.0,2.5,43.567818208768585,6.018740608805673,0.0,1586263728.83079,-0.19307840322690578,-0.17037327692273868,-0.11064481026443561,-0.013560320133545571,0.0
76,19076.0,2.5,43.56544489186728,6.018428847667331,0.0,1586263728.839191,-0.19617505451205658,-0.17337945925244067,-0.11301812716575282,-0.013872081271888274,0.0
77,19077.0,2.5,43.56279009145343,6.018077834975014,0.0,1586263728.8474848,-0.19995877231285306,-0.17704633107041484,-0.11567292757958587,-0.01422309396420219,0.0
78,19078.0,2.5,43.55986951592819,6.0176900977160885,0.0,1586263728.8557484,-0.20439795236338146,-0.1813397175236861,-0.11859350310482751,-0.01461083122312726,0.0
79,19079.0,2.5,43.55670214716804,6.017268650304407,0.0,1586263728.8642435,-0.2094534352667779,-0.18621759651046954,-0.12176087186498422,-0.015032278634810848,0.0
80,19080.0,2.5,43.55330991449873,6.016816938278985,0.0,1586263728.8724937,-0.21507929846005033,-0.19163099150045554,-0.12515310453429804,-0.015483990660231687,0.0
81,19081.0,2.5,43.54971746779992,6.016338791930192,0.0,1586263728.881102,-0.22122307858176932,-0.1975243535827553,-0.12874555123310963,-0.015962137009027193,0.0
82,19082.0,2.5,43.54595212611706,6.015838399550073,0.0,1586263728.8893495,-0.22782530417822014,-0.20383532085815492,-0.13251089291597584,-0.01646252938914487,0.0
83,19083.0,2.5,43.54204390290008,6.015320288110135,0.0,1586263728.8978734,-0.2348188113241667,-0.21049430268745573,-0.1364191161329342,-0.016980640829081173,0.0
84,19084.0,2.5,43.53802544271483,6.014789291770957,0.0,1586263728.9065888,-0.2421284278416715,-0.2174244263010226,-0.14043757631820408,-0.017511637168258522,0.0
85,19085.0,2.5,43.53393172390156,6.014250490411692,0.0,1586263728.9148571,-0.2496714452939914,-0.2245422406582421,-0.14453129513146892,-0.0180504385275248,0.0
86,19086.0,2.5,43.52979946673236,6.013709110181457,0.0,1586263728.9231455,-0.25735900328230393,-0.23175930473858236,-0.1486635523006722,-0.018591818757758845,0.0
87,19087.0,2.5,43.52566633084855,6.013170397744636,0.0,1586263728.9314253,-0.2650980764101236,-0.23898433788167636,-0.15279668818447464,-0.01913053119458,0.0
88,19088.0,2.5,43.521570078025846,6.012639493825272,0.0,1586263728.9397926,-0.2727935082623849,-0.24612533581620522,-0.156892941007179,-0.01966143511394421,0.0
89,19089.0,2.5,43.51754777843912,6.01212131810349,0.0,1586263728.9483895,-0.28034989358148515,-0.2530914273724279,-0.16091524059390222,-0.020179610835725798,0.0
90,19090.0,2.5,43.51363495152363,6.011620450102119,0.0,1586263728.9564588,-0.28767371912569917,-0.2597949061626136,-0.16482806750939324,-0.02068047883709658,0.0
91,19091.0,2.5,43.5098645626595,6.011140994983287,0.0,1586263728.9650857,-0.29467607583245403,-0.2661537909695682,-0.1685984563735244,-0.02115993395592996,0.0
92,19092.0,2.5,43.50626607199328,6.010686463206151,0.0,1586263728.973365,-0.3012754001433263,-0.27209437599782677,-0.17219694703974373,-0.02161446573306652,0.0
93,19093.0,2.5,43.5028649079147,6.010259717229941,0.0,1586263728.9819334,-0.3073992103295715,-0.2775527089863982,-0.17559811111832282,-0.022041211709276472,0.0
94,19094.0,2.5,43.49968261075224,6.009863018046414,0.0,1586263728.9905303,-0.31298424257133206,-0.28247439518351225,-0.1787804082807811,-0.02243791089280472,0.0
95,19095.0,2.5,43.496737553110385,6.0094981552305855,0.0,1586263728.9987974,-0.3179753089812565,-0.2868130895252837,-0.1817254659226285,-0.022802773708631315,0.0
96,19096.0,2.5,43.494045823528445,6.00916659988898,0.0,1586263729.0072634,-0.32232393175487867,-0.29052879076341476,-0.18441719550457059,-0.023134329050237254,0.0
97,19097.0,2.5,43.491621859051826,6.008869620885966,0.0,1586263729.015533,-0.32598772326837283,-0.29358693780916334,-0.1868411599811998,-0.023431308053251644,0.0
98,19098.0,2.5,43.489478714156824,6.008608347285233,0.0,1586263729.0238335,-0.32893068864176606,-0.29595848498768845,-0.18898430487619133,-0.023692581653983056,0.0
99,19099.0,2.5,43.48762804768309,6.008383786323121,0.0,1586263729.0322516,-0.3311241265560291,-0.2976206469170462,-0.19083497134993835,-0.023917142616097935,0.0
100,19100.0,2.5,43.48607987091338,6.008196801076189,0.0,1586263729.0404103,-0.33254788057275586,-0.2985580946257961,-0.192383148119639,-0.024104127863029224,0.0
101,19101.0,2.5,43.484842107025,6.008048055468523,0.0,1586263729.0490785,-0.3331916623291573,-0.2987643213940564,-0.1936209120080214,-0.024252873470694634,0.0
102,19102.0,2.5,43.483920074846644,6.007937944647832,0.0,1586263729.057441,-0.33305605443709463,-0.2982427545291736,-0.19454294418638357,-0.024362984291384764,0.0
103,19103.0,2.5,43.48331593051325,6.007866515970644,0.0,1586263729.0658514,-0.33215313528387364,-0.2970075418848838,-0.1951470885197736,-0.024434412968573373,0.0
104,19104.0,2.5,43.483028046172,6.007833376321549,0.0,1586263729.0745633,-0.33050695770517036,-0.2950842508833462,-0.19543497286102524,-0.02446755261766754,0.0
105,19105.0,2.5,43.48305047060039,6.007837605661736,0.0,1586263729.0828223,-0.3281537351029718,-0.2925103169546143,-0.19541254843262537,-0.02446332327748039,0.0
106,19106.0,2.5,43.48337273299623,6.007877715193638,0.0,1586263729.0910585,-0.32514121397483947,-0.2893346719236555,-0.1950902860367871,-0.02442321374557951,0.0
107,19107.0,2.5,43.483980063191744,6.007951662957971,0.0,1586263729.099453,-0.32152709882484254,-0.2856163755626343,-0.19448295584129233,-0.02434926598124565,0.0
108,19108.0,2.5,43.48485384817786,6.008056903515705,0.0,1586263729.1077616,-0.31737700924676016,-0.2814227200193314,-0.1936091708551519,-0.024244025423512353,0.0
109,19109.0,2.5,43.48597216149354,6.008190450437043,0.0,1586263729.1163182,-0.31276241668926824,-0.2768272531200747,-0.19249085753949538,-0.024110478502173384,0.0
110,19110.0,2.5,43.4873103992661,6.008348958683391,0.0,1586263729.1244366,-0.30775849477153716,-0.2719076225040333,-0.19115261976692086,-0.023951970255825145,0.0
111,19111.0,2.5,43.48884213058749,6.0085288439688505,0.0,1586263729.1330209,-0.3024415770975068,-0.2667428854447781,-0.18962088844554306,-0.02377208497036561,0.0
112,19112.0,2.5,43.49054015939031,6.008726438174164,0.0,1586263729.1416533,-0.29688618336640976,-0.26141023981171135,-0.1879228596427217,-0.02357449076505258,0.0
113,19113.0,2.5,43.492377650562666,6.008938157353155,0.0,1586263729.1501634,-0.2911620065487852,-0.2559816347318193,-0.1860853684703604,-0.023362771586062554,0.0
114,19114.0,2.5,43.494329145724414,6.0091606552448145,0.0,1586263729.1585653,-0.28533136557645034,-0.2505208514483264,-0.18413387330860567,-0.02314027369440188,0.0
115,19115.0,2.5,43.49637138853326,6.009390950551959,0.0,1586263729.166782,-0.27944735253183123,-0.2450813197780655,-0.18209163049975435,-0.022909978387258847,0.0
116,19116.0,2.5,43.49848392014926,6.00962652380767,0.0,1586263729.1750364,-0.2735527757182206,-0.23970475597129332,-0.1799790988837678,-0.022674405131547934,0.0
117,19117.0,2.5,43.500649366602076,6.009865373687069,0.0,1586263729.1834815,-0.26768010031536416,-0.23442081269411574,-0.1778136524309473,-0.022435555252148878,0.0
118,19118.0,2.5,43.50285341708878,6.0101060304383,0.0,1586263729.1920857,-0.2618523204618813,-0.22924770097714878,-0.1756096019442527,-0.022194898500917905,0.0
119,19119.0,2.5,43.50508462210935,6.01034753942984,0.0,1586263729.2004623,-0.2560842421222146,-0.22419331085997,-0.1733783969236735,-0.021953389509377308,0.0
120,19120.0,2.5,43.507334069322425,6.010589418217935,0.0,1586263729.2085004,-0.2503838271173731,-0.21925652634394463,-0.17112894971060927,-0.021711510721280903,0.0
121,19121.0,2.5,43.50959486017779,6.01083157510433,0.0,1586263729.2172518,-0.2447537586119582,-0.21442891993718002,-0.16886815885522236,-0.021469353834887336,0.0
122,19122.0,2.5,43.5118614057492,6.0110741932465475,0.0,1586263729.2253973,-0.23919330919915424,-0.20969690196259053,-0.16660161328383366,-0.02122673569266936,0.0
123,19123.0,2.5,43.514128750977946,6.011317611024207,0.0,1586263729.2338486,-0.23370008903450049,-0.20504387718103143,-0.16433426805507156,-0.02098331791501084,0.0
124,19124.0,2.5,43.51639215336869,6.011562231827669,0.0,1586263729.242537,-0.228271093783086,-0.20045179490932988,-0.16207086566432535,-0.020738697111548646,0.0
125,19125.0,2.5,43.51864701423942,6.011808481021502,0.0,1586263729.2508142,-0.22290278484306172,-0.1959017656851247,-0.15981600479360633,-0.02049244791771619,0.0
126,19126.0,2.5,43.520889110506786,6.012056808427038,0.0,1586263729.2590728,-0.2175904043259425,-0.1913738623094877,-0.15757390852623937,-0.02024412051217978,0.0
127,19127.0,2.5,43.523114919749645,6.012307710429046,0.0,1586263729.267483,-0.21232713307728143,-0.18684665434046271,-0.15534809928337648,-0.019993218510170864,0.0
128,19128.0,2.5,43.52532170878994,6.012561724620155,0.0,1586263729.2757993,-0.20710391679329127,-0.18229730922678591,-0.15314131024309105,-0.019739204319062096,0.0
129,19129.0,2.5,43.52750716850543,6.0128193644828745,0.0,1586263729.2843251,-0.20191045919673947,-0.1777028052272638,-0.1509558505275906,-0.019481564456343126,0.0
130,19130.0,2.5,43.52966878827985,6.013081020018899,0.0,1586263729.2924428,-0.19673689230206146,-0.1730417986874325,-0.14879423075317225,-0.019219908920317805,0.0
131,19131.0,2.5,43.531803439456226,6.013346888415435,0.0,1586263729.3010585,-0.19157497577549037,-0.1682960205091544,-0.14665957957678669,-0.018954040523783623,0.0
132,19132.0,2.5,43.53390746077393,6.013616973901619,0.0,1586263729.3093634,-0.1864181207231545,-0.1634505177670187,-0.1445555582590874,-0.018683955037598742,0.0
133,19133.0,2.5,43.535977211976295,6.013891153109925,0.0,1586263729.3180351,-0.18126034853767295,-0.15849282914793186,-0.14248580705672761,-0.01840977582929355,0.0
134,19134.0,2.5,43.53800986435177,6.01416927719653,0.0,1586263729.326541,-0.1760947781159065,-0.15341163131816954,-0.14045315468126038,-0.018131651742687317,0.0
135,19135.0,2.5,43.54000410035407,6.014451266562322,0.0,1586263729.334821,-0.17091243874799067,-0.14819564113691167,-0.13845891867895307,-0.017849662376894403,0.0
136,19136.0,2.5,43.54196043148405,6.014737156038219,0.0,1586263729.3430946,-0.1657020632835419,-0.14283346862149596,-0.13650258754898464,-0.017563772900999374,0.0
137,19137.0,2.5,43.54388104294465,6.015027076403038,0.0,1586263729.3516486,-0.16045098090319912,-0.1373145543132685,-0.1345819760883772,-0.01727385253617945,0.0
138,19138.0,2.5,43.54576930460211,6.015321192187116,0.0,1586263729.359938,-0.1551466425864786,-0.1316306841074263,-0.1326937144309094,-0.016979736752100294,0.0
139,19139.0,2.5,43.54762921631224,6.0156196333337615,0.0,1586263729.3684354,-0.14977805302036926,-0.12577732015372495,-0.1308338027207841,-0.01668129560545468,0.0
140,19140.0,2.5,43.54946502927373,6.015922452856957,0.0,1586263729.3764298,-0.14433657429999877,-0.1197542240532634,-0.12899798975928647,-0.016378476082259886,0.0
141,19141.0,2.5,43.551281106198616,6.0162296179544095,0.0,1586263729.3851035,-0.13881607717084202,-0.11356537063539966,-0.12718191283440963,-0.016071310984808563,0.0
142,19142.0,2.5,43.55308186055971,6.016541012811333,0.0,1586263729.3933325,-0.13321290777424202,-0.10721862457205522,-0.12538115847331605,-0.015759916127885232,0.0
143,19143.0,2.5,43.55487157071259,6.016856424627535,0.0,1586263729.4018414,-0.12752615004967896,-0.10072567962887989,-0.1235914483204315,-0.01544450431168105,0.0
144,19144.0,2.5,43.556654041864114,6.017175506562096,0.0,1586263729.4105792,-0.12175820416173412,-0.09410233884722273,-0.12180897716891188,-0.015125422377121497,0.0
145,19145.0,2.5,43.55843220857059,6.017497727667467,0.0,1586263729.4190562,-0.11591549269952797,-0.0873690057346218,-0.12003081046242509,-0.014803201271748811,0.0
146,19146.0,2.5,43.560207728338426,6.017822316768931,0.0,1586263729.427291,-0.1100092666741792,-0.08055137363987261,-0.11825529069458973,-0.014478612170285994,0.0
147,19147.0,2.5,43.561980650925584,6.018148214872881,0.0,1586263729.435477,-0.10405629812461512,-0.07368106272269213,-0.11648236810743123,-0.014152714066334834,0.0
148,19148.0,2.5,43.56374932227134,6.018474062481845,0.0,1586263729.4437482,-0.09807898755249049,-0.06679566407739772,-0.11471369676168071,-0.013826866457371996,0.0
149,19149.0,2.5,43.56551051992105,6.018798225492643,0.0,1586263729.4523036,-0.09210491039368264,-0.059938156882260625,-0.11295249911197645,-0.013502703446573635,0.0
150,19150.0,2.5,43.56725957416982,6.019118827093527,0.0,1586263729.4604673,-0.08616644695395027,-0.05315632853638226,-0.11120344486321407,-0.013182101845691832,0.0
151,19151.0,2.5,43.56899032218244,6.01943376212903,0.0,1586263729.469056,-0.0803007179983712,-0.04650244424062066,-0.10947269685059027,-0.01286716681018496,0.0
152,19152.0,2.5,43.57069511822309,6.019740721557268,0.0,1586263729.4773567,-0.07454901333834711,-0.040032373140272304,-0.10776790080992503,-0.01256020738195002,0.0
153,19153.0,2.5,43.57236526337491,6.020037277195162,0.0,1586263729.485861,-0.06895476675103046,-0.03380320990628718,-0.10609775565810046,-0.01226365174405548,0.0
154,19154.0,2.5,43.573991909355136,6.020321036208553,0.0,1586263729.494549,-0.06356022122996431,-0.02786952837203125,-0.10447110967788499,-0.011979892730664273,0.0
155,19155.0,2.5,43.57556710994883,6.020589819128288,0.0,1586263729.5028872,-0.05840298968857261,-0.022279538602023998,-0.10289590908418957,-0.011711109810928837,0.0
156,19156.0,2.5,43.57708459451678,6.020841797432647,0.0,1586263729.51112,-0.05351381268085208,-0.01707256802200147,-0.1013784245162455,-0.011459131506569579,0.0
157,19157.0,2.5,43.578540013563796,6.021075551386962,0.0,1586263729.5197172,-0.04891614229669299,-0.012278563608585043,-0.09992300546923853,-0.011225377552254967,0.0
158,19158.0,2.5,43.57993071035854,6.02129005517975,0.0,1586263729.527867,-0.04462727911010065,-0.007919298286469149,-0.09853230867448547,-0.011010873759467276,0.0
159,19159.0,2.5,43.581255291841856,6.021484630499142,0.0,1586263729.5363085,-0.04066021052074435,-0.004010316698241952,-0.09720772719117281,-0.010816298440076144,0.0
160,19160.0,2.5,43.5825132119687,6.0216589016844875,0.0,1586263729.544395,-0.037025441003938384,-0.0005628137534867535,-0.09594980706432009,-0.0106420272547289,0.0
161,19161.0,2.5,43.583704350041444,6.021812750478019,0.0,1586263729.5530984,-0.03373266516698304,0.0024147247803851654,-0.09475866899157441,-0.01048817846119685,0.0
162,19162.0,2.5,43.584828460704784,6.021946250217225,0.0,1586263729.561331,-0.030792449776320088,0.004914909473944255,-0.09363455832823675,-0.010354678721991384,0.0
163,19163.0,2.5,43.5858844527904,6.022059570147158,0.0,1586263729.5699115,-0.028218031399018396,0.006929704816409643,-0.09257856624262821,-0.010241358792060392,0.0
164,19164.0,2.5,43.58686960532987,6.022152862797328,0.0,1586263729.578548,-0.026027050885984247,0.008448695538868897,-0.09159341370314884,-0.010148066141889315,0.0
