x = temp. degC, y = integration time, z = pixel counts
z(x,y) = p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
px_num	rmse	p00	p10	p01	p20	p11	p30	p21
57	72.6984	1417	20.2954	1.15704e-05	-1.0573	-2.23355e-06	0.0146991	8.84572e-08	
58	85.9732	1403.64	23.3145	1.45652e-05	-1.22427	-2.50977e-06	0.0171057	1.08121e-07	
59	84.6312	1407.86	22.6425	1.46022e-05	-1.19632	-2.45177e-06	0.0167522	1.08317e-07	
60	87.2069	1403.19	23.9316	1.44358e-05	-1.2539	-2.59157e-06	0.0174876	1.09001e-07	
61	61.2757	1426.04	18.0819	7.0429e-06	-0.926451	-2.13159e-06	0.0127292	6.73692e-08	
62	71.5546	1409.32	21.9679	4.85705e-06	-1.11066	-2.65632e-06	0.0151501	7.42157e-08	
63	120.541	1469.77	8.23921	-1.49112e-05	-0.579121	-6.68049e-07	0.00916525	1.34277e-08	
64	65.3421	1424.42	18.7716	7.65525e-06	-0.96982	-2.23262e-06	0.0134101	7.60879e-08	
65	73.988	1415.13	20.5705	1.10183e-05	-1.06839	-2.31879e-06	0.0148189	8.78617e-08	
66	89.599	1401.73	24.3252	1.34326e-05	-1.27902	-2.67728e-06	0.0179254	1.1366e-07	
67	93.15	1397.42	24.9236	1.58098e-05	-1.3202	-2.6859e-06	0.0185657	1.1993e-07	
68	93.659	1397.77	24.7897	1.61303e-05	-1.31372	-2.67862e-06	0.0184988	1.2055e-07	
69	64.7438	1421.57	18.7638	7.91366e-06	-0.963995	-2.19242e-06	0.013274	7.27532e-08	
70	78.9795	1407.82	22.1138	1.22933e-05	-1.14695	-2.45153e-06	0.0158741	9.58374e-08	
71	78.8354	1410.54	21.6461	1.31666e-05	-1.13533	-2.34734e-06	0.0158888	9.6387e-08	
72	84.4317	1405.34	22.9557	1.33329e-05	-1.20723	-2.55582e-06	0.0169156	1.0687e-07	
73	83.605	1406.22	23.0604	1.3544e-05	-1.20768	-2.53139e-06	0.0168783	1.02993e-07	
74	84.611	1404.86	23.2721	1.31006e-05	-1.21737	-2.58479e-06	0.0169868	1.05156e-07	
75	78.9694	1404.42	23.1271	6.97443e-06	-1.18717	-2.72591e-06	0.0163636	9.06516e-08	
76	68.7603	1416.59	20.1742	6.21029e-06	-1.03452	-2.39045e-06	0.0142642	7.76422e-08	
77	79.7269	1407.56	22.3621	1.17037e-05	-1.16192	-2.48716e-06	0.0161461	9.60779e-08	
78	82.5484	1405.99	23.0842	1.3111e-05	-1.20092	-2.52853e-06	0.0166811	1.00216e-07	
79	100.177	1382.58	28.1907	1.52479e-05	-1.45514	-2.92357e-06	0.0201396	1.1227e-07	
80	83.6616	1405.23	22.7921	1.31025e-05	-1.19312	-2.53448e-06	0.0166441	1.04228e-07	
81	88.3472	1402.38	23.9134	1.42425e-05	-1.26194	-2.61929e-06	0.0177346	1.13516e-07	
82	83.4494	1407.4	22.8017	1.40066e-05	-1.19566	-2.47367e-06	0.0167043	1.03579e-07	
83	77.2673	1408.83	21.8571	1.1677e-05	-1.13309	-2.43172e-06	0.0157053	9.31188e-08	
