,0
D1,3.219533587967988
T1a,191.66666666666669
T1b,158.33333333333334
T2,275.0
T3,1375.0
T4,3075.0
D2,1.4331095900687032
AMP,1.7864239978992846
VelConMax,3.9782159832940245
VelConAve,1.4813829180748577
AccConMax,28.062214212972947
CT,1183.3333333333333
VelRedMax,1.2207620938339314
AccRedMax,5.929843920965183
