,value
Baseline,3.914547681171721
Latency_a,183.33333333333334
Latency_b,191.66666666666669
T2MaxVel,300.0
T2MaxCon,1366.6666666666667
T2Rec75pc,3408.3333333333335
PeakCon,1.841506225309111
ConAmplitude,2.07304145586261
VelConMax,5.460234921405167
VelConAve,1.811230290180744
AccConMax,44.25892984663946
ConTime,1183.3333333333335
VelRedMax,1.4787011460309785
AccRedMax,7.048466073139892
