onset,pupil
-1.0,6.189811764705882
-0.967,6.1969176470588225
-0.933,6.1940470588235295
-0.9,6.194258823529412
-0.866,6.20344705882353
-0.833,6.196505882352941
-0.7989999999999999,6.201058823529412
-0.766,6.208129411764706
-0.733,6.20869411764706
-0.6990000000000001,6.213094117647059
-0.6659999999999999,6.220305882352942
-0.632,6.222235294117647
-0.599,6.222552941176471
-0.5660000000000001,6.225505882352941
-0.532,6.2277764705882355
-0.499,6.235317647058823
-0.46499999999999997,6.235952941176471
-0.43200000000000005,6.2414941176470595
-0.398,6.240494117647059
-0.365,6.2414000000000005
-0.33199999999999996,6.242588235294118
-0.29800000000000004,6.246811764705883
-0.265,6.247823529411765
-0.23099999999999998,6.250505882352941
-0.19799999999999995,6.251494117647058
-0.16400000000000003,6.252317647058824
-0.131,6.252258823529412
-0.09799999999999998,6.248023529411765
-0.06399999999999995,6.251
-0.031000000000000028,6.252882352941176
0.0029999999999998916,6.256823529411765
0.03600000000000003,6.257611764705883
0.07000000000000006,6.249658823529412
0.10299999999999998,6.246211764705882
0.1359999999999999,6.258235294117648
0.16999999999999993,6.258588235294118
0.20300000000000007,6.25524705882353
0.2370000000000001,6.178411764705882
0.27,6.021858823529412
0.30299999999999994,5.824858823529412
0.33699999999999997,5.626505882352941
0.3700000000000001,5.4229529411764705
0.4039999999999999,5.233988235294118
0.43700000000000006,5.055105882352941
0.4710000000000001,4.887941176470589
0.504,4.7366
0.5369999999999999,4.593988235294117
0.571,4.467658823529412
0.6040000000000001,4.354152941176471
0.6379999999999999,4.2512823529411765
0.671,4.155505882352942
0.7050000000000001,4.071988235294118
0.738,3.993635294117647
0.7709999999999999,3.924070588235294
0.8049999999999999,3.859635294117647
0.8380000000000001,3.805670588235294
0.8720000000000001,3.7551411764705884
0.905,3.7075294117647055
0.9390000000000001,3.6655764705882357
0.972,3.6275058823529416
1.005,3.5880117647058825
1.0390000000000001,3.555741176470588
1.072,3.5246
1.1059999999999999,3.4986823529411764
1.1389999999999998,3.4733058823529412
1.1720000000000002,3.4488117647058822
1.206,3.4267764705882353
1.2389999999999999,3.4083411764705884
1.2730000000000001,3.390505882352941
1.306,3.379447058823529
1.3399999999999999,3.3732470588235293
1.3730000000000002,3.372776470588235
1.4060000000000001,3.3786470588235296
1.44,3.394470588235294
1.4729999999999999,3.4175999999999997
1.5070000000000001,3.4482
1.54,3.4842588235294114
1.5739999999999998,3.527941176470588
1.6070000000000002,3.576694117647059
1.6400000000000001,3.6301058823529413
1.674,3.6803294117647054
1.7069999999999999,3.7334470588235296
1.741,3.788070588235294
1.774,3.8408470588235293
1.807,3.8903529411764706
1.8410000000000002,3.940141176470588
1.874,3.9913764705882353
1.908,4.034294117647059
1.9409999999999998,4.080529411764706
1.975,4.122447058823529
2.008,4.1639647058823535
2.041,4.206152941176471
2.075,4.245058823529412
2.108,4.282705882352941
2.142,4.320988235294117
2.175,4.356458823529412
2.209,4.393364705882353
2.242,4.4252
2.275,4.457647058823529
2.309,4.4879411764705885
2.342,4.517623529411765
2.376,4.546858823529412
2.409,4.576011764705883
2.443,4.602647058823529
2.476,4.627447058823529
2.509,4.652211764705882
2.543,4.675717647058823
2.576,4.697682352941176
2.61,4.722811764705883
2.643,4.7441176470588236
2.676,4.763529411764706
2.71,4.785247058823529
2.743,4.805329411764706
2.777,4.823317647058824
2.81,4.840964705882352
2.844,4.858741176470589
2.877,4.874341176470589
2.91,4.892058823529411
2.944,4.906282352941177
2.977,4.9240352941176475
3.011,4.940870588235294
3.0439999999999996,4.952494117647059
3.0780000000000003,4.971529411764705
3.1109999999999998,4.982011764705883
3.144,4.994294117647058
3.178,5.0089999999999995
3.2110000000000003,5.022917647058823
3.245,5.038541176470589
3.2779999999999996,5.051352941176471
3.311,5.0645411764705885
3.3449999999999998,5.07735294117647
3.378,5.090400000000001
3.412,5.0994705882352935
3.4450000000000003,5.113329411764705
3.479,5.121058823529412
3.5119999999999996,5.1355176470588235
3.545,5.145329411764706
3.5789999999999997,5.159329411764706
3.612,5.173035294117647
3.646,5.183623529411765
3.6790000000000003,5.191258823529412
3.713,5.2021411764705885
3.7460000000000004,5.213317647058823
3.779,5.22375294117647
3.8129999999999997,5.227105882352941
3.846,5.2364
3.88,5.24435294117647
3.9130000000000003,5.254082352941176
3.947,5.2652117647058825
3.9800000000000004,5.275635294117647
4.013,5.281588235294118
4.047,5.292058823529412
4.08,5.304905882352942
4.114,5.307788235294117
4.147,5.320411764705883
4.18,5.330976470588235
4.214,5.337164705882353
4.247,5.348164705882353
4.281,5.355223529411765
4.314,5.364741176470588
4.348,5.378741176470588
4.381,5.389211764705883
4.414,5.393411764705882
4.448,5.401400000000001
4.481,5.409882352941176
4.515,5.420023529411765
4.548,5.434070588235294
4.582,5.437752941176471
4.615,5.448541176470588
4.648,5.456564705882353
4.682,5.465411764705882
4.715,5.478564705882353
4.749,5.489411764705882
4.782,5.50155294117647
4.816,5.508847058823529
4.849,5.514952941176471
4.882,5.5228117647058825
4.916,5.535035294117647
4.949,5.537776470588235
4.983,5.546482352941177
5.016,5.556670588235294
5.049,5.564235294117647
5.083,5.572952941176471
5.116,5.580188235294117
5.15,5.587129411764706
5.183,5.592882352941176
5.217,5.604070588235294
5.25,5.613505882352942
5.283,5.613423529411765
5.317,5.622305882352942
5.35,5.636882352941177
5.384,5.6446588235294115
5.417,5.648670588235294
5.451,5.6556235294117645
5.484,5.659988235294118
5.517,5.665882352941177
5.551,5.672388235294118
5.584,5.682058823529412
5.618,5.692258823529412
5.651,5.701752941176471
5.684,5.7022941176470585
5.718,5.708494117647058
5.751,5.720094117647059
5.785,5.727070588235294
5.818,5.732835294117647
5.852,5.737211764705883
5.885,5.74464705882353
5.918,5.754882352941177
5.952,5.763329411764706
5.985,5.766211764705882
6.019,5.770870588235294
6.052,5.780117647058823
6.086,5.7828
6.119,5.781082352941176
6.152,5.787176470588236
6.186,5.798070588235294
6.219,5.8040705882352945
6.253,5.806894117647059
6.286,5.814317647058823
6.32,5.8118823529411765
6.353,5.820788235294118
6.386,5.819411764705882
6.42,5.826270588235294
6.453,5.833623529411764
6.487,5.838494117647059
6.52,5.842988235294118
6.553,5.850529411764706
6.587,5.855035294117647
6.62,5.858870588235295
6.654,5.864352941176471
6.687,5.866341176470589
6.721,5.881129411764706
6.754,5.88355294117647
6.787,5.893717647058824
6.821,5.895917647058824
6.854,5.898788235294117
6.888,5.899094117647059
6.921,5.905176470588235
6.955,5.910541176470589
6.988,5.914635294117646
7.021000000000001,5.923529411764706
7.055,5.919082352941176
7.087999999999999,5.923964705882352
7.122,5.934329411764706
7.154999999999999,5.937752941176471
7.189,5.949070588235294
7.2219999999999995,5.950247058823529
7.255000000000001,5.954717647058824
7.289,5.958941176470588
7.321999999999999,5.962152941176471
7.356,5.969235294117647
7.388999999999999,5.976741176470589
7.422000000000001,5.981623529411765
7.4559999999999995,5.9828
7.489000000000001,5.9861176470588235
7.523,5.991823529411765
7.555999999999999,5.996423529411765
7.59,6.000988235294118
7.622999999999999,6.006894117647059
7.656000000000001,6.007623529411765
7.6899999999999995,6.011905882352941
7.723000000000001,6.018541176470588
7.757,6.023905882352942
7.789999999999999,6.035188235294117
7.824,6.0373882352941175
7.856999999999999,6.050023529411765
7.890000000000001,6.052223529411764
7.9239999999999995,6.054729411764707
7.957000000000001,6.04354761904762
7.991,6.045428571428571
