,0
353,500.7276755
354,501.1956606
355,501.6636789
356,502.1317305
357,502.5998153
358,503.0679333
359,503.5360846
360,504.0042692
361,504.472487
362,504.940738
363,505.4090223
364,505.8773398
365,506.3456906
366,506.8140747
367,507.2824919
368,507.7509425
369,508.2194262
370,508.6879432
371,509.1564935
372,509.625077
373,510.0936938
374,510.5623438
375,511.031027
376,511.4997435
377,511.9684933
378,512.4372763
379,512.9060925
380,513.374942
381,513.8438247
382,514.3127407
383,514.7816899
384,515.2506724
385,515.7196881
386,516.188737
387,516.6578193
388,517.1269347
389,517.5960834
390,518.0652654
391,518.5344806
392,519.003729
393,519.4730107
394,519.9423256
395,520.4116738
396,520.8810552
397,521.3504699
398,521.8199178
399,522.289399
400,522.7589134
401,523.2284611
402,523.698042
403,524.1676562
404,524.6373036
405,525.1069842
406,525.5766981
407,526.0464453
408,526.5162256
409,526.9860393
410,527.4558862
411,527.9257663
412,528.3956797
413,528.8656263
414,529.3356062
415,529.8056193
416,530.2756656
417,530.7457453
418,531.2158581
419,531.6860042
420,532.1561836
421,532.6263962
422,533.096642
423,533.5669211
424,534.0372334
425,534.507579
426,534.9779578
427,535.4483699
428,535.9188152
429,536.3892938
430,536.8598056
431,537.3303507
432,537.800929
433,538.2715406
434,538.7421854
435,539.2128634
436,539.6835747
437,540.1543193
438,540.625097
439,541.0959081
440,541.5667524
441,542.0376299
442,542.5085407
443,542.9794847
444,543.450462
445,543.9214725
446,544.3925162
447,544.8635933
448,545.3347035
449,545.805847
450,546.2770238
451,546.7482338
452,547.219477
453,547.6907535
454,548.1620632
455,548.6334062
456,549.1047824
457,549.5761919
458,550.0476346
459,550.5191106
460,550.9906198
461,551.4621623
462,551.933738
463,552.405347
464,552.8769892
465,553.3486646
466,553.8203733
467,554.2921153
468,554.7638905
469,555.2356989
470,555.7075406
471,556.1794155
472,556.6513237
473,557.1232651
474,557.5952398
475,558.0672477
476,558.5392889
477,559.0113633
478,559.4834709
479,559.9556118
480,560.427786
481,560.8999934
482,561.372234
483,561.8445079
484,562.316815
485,562.7891554
486,563.2615291
487,563.7339359
488,564.2063761
489,564.6788494
490,565.1513561
491,565.6238959
492,566.096469
493,566.5690754
494,567.041715
495,567.5143878
496,567.9870939
497,568.4598333
498,568.9326059
499,569.4054117
500,569.8782508
501,570.3511231
502,570.8240287
503,571.2969675
504,571.7699396
505,572.2429449
506,572.7159835
507,573.1890553
508,573.6621603
509,574.1352987
510,574.6084702
511,575.081675
512,575.554913
513,576.0281843
514,576.5014889
515,576.9748267
516,577.4481977
517,577.921602
518,578.3950395
519,578.8685103
520,579.3420143
521,579.8155515
522,580.2891221
523,580.7627258
524,581.2363628
525,581.7100331
526,582.1837366
527,582.6574733
528,583.1312433
529,583.6050465
530,584.078883
531,584.5527528
532,585.0266557
533,585.500592
534,585.9745614
535,586.4485641
536,586.9226001
537,587.3966693
538,587.8707718
539,588.3449075
540,588.8190764
