rmv,LEDs_temp,drivers_temp,board_temp,micro_temp,integration_time,input_power,dimming_level,led,intensity
0.05344348,22.37,22.8,25.88,31.62,368,6246,100,9,3900
0.000267176,22.88,22.88,26.19,31.62,1004,1444,100,7,195
0.000262752,23.42,22.97,26.35,31.32,46,16105,100,6,3770
0.015324932,26.74,23.05,26.31,31.62,813,2647,100,9,1105
0.014362219,22.33,23.17,26.39,31.62,833,2507,100,1,1170
0.040287696,22.16,23.21,26.31,31.32,430,4612,100,0,3445
0.027447101,22.88,22.97,26.39,31.62,737,15173,100,7,3185
0.039080381,25.76,23.42,26.35,31.32,431,4437,100,0,3315
0.002231088,23.17,23.63,26.39,31.32,908,2645,100,6,455
0.031681541,22.46,23.26,26.66,31.62,539,3903,100,0,2665
0.025273018,22.75,23.42,26.27,31.32,790,13958,100,7,2925
0.018320555,25.44,23.67,26.47,31.62,826,2905,100,8,1950
0.032056753,23.17,23.75,26.55,31.62,778,4449,100,9,2535
0.022491623,24.96,23.63,26.39,31.62,793,17943,100,6,4095
0.020504901,28.23,23.63,26.43,31.62,800,11205,100,7,2340
0.023521889,25.56,23.87,26.55,31.91,741,8502,100,4,3705
0.045259207,24.32,23.79,26.63,31.32,376,4958,100,0,4030
0.014781663,23.5,23.79,26.59,31.62,824,6823,100,5,2860
0.000476379,24.24,23.83,26.78,31.91,965,1356,100,2,195
0.000359084,21.91,23.13,26.59,32.5,15015,1304,100,1,0
0.041463353,21.91,23.09,26.51,31.62,26,5019,100,1,3835
0.015325717,22.5,23.21,26.39,31.32,813,4633,100,3,2470
0.006870109,23.33,23.21,26.51,31.32,825,4397,100,7,910
0.010697547,22.92,23.17,26.7,31.91,788,6266,100,7,1300
0.013646595,23.66,23.42,26.63,31.91,833,6169,100,5,2535
0.015569322,23.91,23.63,26.63,32.5,814,8742,100,7,1820
0.030113485,24.28,23.63,26.66,31.62,586,3892,100,1,2730
0.013563561,22.84,23.42,26.63,31.32,835,4638,100,4,1755
0.007292669,23,23.59,26.63,31.62,822,2694,100,4,845
0.013921421,22.67,23.42,26.66,31.62,821,2542,100,9,975
0.035458688,22.79,23.42,26.55,31.91,531,4425,100,1,3250
0.018582702,23.25,23.34,26.59,31.91,802,5361,100,3,3055
0.028868385,23.87,23.46,26.98,31.91,694,3988,100,8,3380
0.000334109,22.67,23.42,26.94,31.91,2187,1305,100,8,65
0.028757516,21.91,23.13,26.66,31.62,638,3824,100,1,2600
0.018664649,22.25,23.26,26.47,31.62,802,4460,100,2,2275
0.008729725,22.63,23.17,26.55,31.32,845,3990,100,5,1430
0.015586,24.24,23.17,26.43,31.62,810,12547,100,6,2860
0.0280206,26.04,23.42,26.59,31.62,785,3838,100,9,2015
0.027076937,23.09,23.26,26.59,32.2,597,3505,100,0,2210
0.016779499,22.58,23.26,26.66,31.91,816,5688,100,4,2275
0.016854944,23.46,23.42,26.51,31.62,810,9319,100,7,1950
0.019715665,24.36,23.5,26.74,31.32,804,6609,100,4,2795
0.008957781,23.71,23.46,26.63,32.5,827,2622,100,2,910
0.010825624,22.5,23.59,26.7,31.91,850,2961,100,2,1170
0.047622934,22.79,23.63,26.7,31.91,670,5846,100,9,3575
0.018469542,23.83,23.59,26.74,31.62,803,5371,100,3,2990
0.026430529,24.4,23.54,26.94,31.91,738,14530,100,7,3055
0.011318478,26,23.75,26.86,31.32,803,3936,100,4,1430
0.011765842,23.13,23.83,26.9,31.91,811,2121,100,0,910
2.65E-05,22.58,23.83,26.78,32.2,1611,1314,100,4,0
0.020613916,22.12,23.38,26.94,32.2,804,3136,100,1,1820
0.002862087,22.29,23.3,26.82,31.91,958,1903,100,5,390
0.004237325,22.16,23.38,26.82,31.91,984,1621,100,8,260
0.007863463,22.25,23.3,26.66,31.91,798,2397,100,2,780
0.016042279,22.75,23.46,26.86,31.32,810,4776,100,3,2600
0.024715552,23.83,23.3,26.9,31.91,792,13330,100,7,2795
0.009894398,25.72,23.5,26.7,31.32,803,3335,100,3,1495
0.040073998,23.46,23.63,26.82,31.32,774,5068,100,9,2990
0.018405739,23.17,23.75,26.98,32.2,804,4449,100,2,2210
0.001296266,22.92,23.71,26.9,31.91,1059,1474,100,4,195
0.037986044,22.21,23.34,26.82,32.2,479,4657,100,1,3445
0.00051392,22.58,23.34,26.82,31.91,1111,1629,100,6,195
0.045171153,22.12,23.21,26.66,31.91,376,5022,100,0,3965
0.007293753,22.92,23.3,26.78,32.2,824,6399,100,6,1365
0.024778603,23.83,23.3,26.66,31.62,740,8756,100,4,3835
4.81E-05,23.71,23.26,26.82,31.91,1140,1305,100,6,0
0.029274836,22.12,23.21,26.66,31.62,542,3693,100,0,2470
0.007431629,22.5,23.26,26.51,31.91,817,4659,100,7,975
0.015227124,23.17,23.46,26.7,31.91,824,5232,100,4,2015
0.033107899,23.04,23.5,26.63,31.32,487,3998,100,0,2795
