rmv,LEDs_temp,drivers_temp,board_temp,micro_temp,integration_time,input_power,dimming_level,led,intensity
0.010365993,25.48,25.88,29.22,33.96,794,8269,100,6,1820
0.025052117,27.05,25.92,29.11,33.96,739,5468,100,2,3055
0.022855246,25.52,25.8,29.14,34.55,706,3092,100,0,1820
0.019476341,25.32,25.95,29.26,33.96,803,5272,100,3,2990
0.024716847,26.39,25.99,29.26,34.55,653,3182,100,0,1950
0.011119934,25.12,25.99,29.22,34.26,811,4816,100,5,1885
0.006011899,25.72,25.84,29.29,34.26,840,2769,100,5,845
1.25E-05,25.2,25.88,29.29,34.26,3040,1262,100,6,0
0.014054251,24.32,25.52,29.07,33.96,797,2385,100,0,1040
0.020312227,24.52,25.56,28.99,33.67,804,9256,100,5,3965
0.016179131,26.66,25.6,28.96,33.67,794,2617,100,8,1560
0.001762079,24.88,25.6,28.77,33.67,865,2343,100,6,390
0.029282378,25.04,25.6,28.99,33.96,486,15471,100,7,3250
0.003166493,28.12,25.92,28.96,33.96,881,3267,100,6,585
0.044461701,25.28,25.76,28.96,33.96,378,4905,100,0,3770
0.033076521,25.44,25.76,28.81,34.26,632,17557,100,7,3705
0.006692949,28.95,26.03,28.99,33.96,801,1827,100,0,390
0.017821511,24.8,25.99,28.96,33.38,775,2678,100,0,1365
0.024024593,24.88,25.99,28.99,34.26,744,8009,100,4,3445
0.020673376,25.88,25.8,28.99,34.26,800,4633,100,2,2405
0.008988518,25.44,25.92,29.07,33.96,795,3969,100,5,1430
0.009888515,25.52,25.92,29.22,34.26,817,2141,100,9,585
0.007745694,25.16,25.88,28.88,33.67,797,2813,100,3,1040
0.016085383,25.32,25.92,29.26,34.26,772,5203,100,4,2080
0.014087559,26,25.6,29.11,34.55,775,4174,100,3,2080
0.006346539,26,25.8,29.22,33.96,823,1812,100,9,390
0.006000178,24.72,25.8,29.26,34.55,822,2348,100,4,650
0.013305139,24.96,25.92,29.29,34.26,793,2389,100,1,1040
0.007769816,24.96,25.72,29.41,34.55,789,2849,100,3,1105
0.017416039,25.24,25.8,29.41,34.55,809,4028,100,2,2015
0.020805107,25.4,25.84,29.22,34.55,801,10921,100,7,2275
0.023867337,27.32,25.99,29.29,34.55,794,12745,100,7,2665
0.022990141,29.1,26.19,29.25,34.55,793,17795,100,6,4030
0.014637838,31.26,26.19,29.55,33.96,767,2646,100,9,1040
0.00834324,25.72,26.15,29.37,34.26,808,3686,100,5,1300
0.002234114,25.72,26.11,29.22,33.96,1037,1627,100,4,260
0.00614836,24.8,26.07,29.22,34.26,794,2430,100,3,780
0.024288973,25.28,26.19,29.52,34.26,743,3429,100,9,1625
0.030622745,25.32,25.88,29.37,34.55,681,6774,100,2,3900
0.01050493,25.84,26.31,29.26,34.55,799,3411,100,3,1560
0.018869082,26.7,25.95,29.52,34.55,802,14310,100,6,3315
0.018704839,29.39,26.03,29.4,34.26,761,6047,100,4,2470
0.010115531,26.27,25.92,29.48,34.55,762,2817,100,2,1040
0.009203071,25.64,26.19,29.4,34.55,804,7497,100,6,1625
0.012226961,27.16,26.15,29.52,34.26,790,3136,100,2,1300
0.012277523,26,26.11,29.29,34.84,880,9723,100,6,2145
0.012181384,27.97,26.07,29.4,34.84,849,4079,100,4,1495
2.55E-05,25.56,26.11,29.4,34.26,1749,1257,100,3,0
0.005824797,24.28,25.48,28.96,33.96,819,1965,100,2,520
0.018572284,26.66,25.68,28.84,33.96,1056,8597,100,5,3770
0.005775557,26.86,25.68,29.03,33.67,806,1777,100,9,325
0.044182401,24.92,25.6,28.99,33.96,622,5269,100,9,3185
0.045995392,25.52,25.76,28.88,34.26,377,4949,100,0,3835
0.002370304,24.92,25.56,29.03,33.96,844,2272,100,7,455
0.014010351,24.92,25.8,28.81,34.26,783,6189,100,5,2535
0.014014944,25.96,25.76,28.99,34.55,803,2283,100,0,975
0.020162372,24.88,25.56,28.92,33.67,753,10628,100,7,2210
0.034324884,26.74,25.76,28.99,34.55,587,4318,100,8,4030
0.00169736,25.32,25.72,28.88,34.26,1051,1566,100,5,260
0.011947365,24.56,25.72,28.99,33.67,806,2292,100,1,910
0.008579341,24.56,25.68,28.96,34.55,850,2993,100,4,975
0.037065625,25,25.56,28.88,33.67,435,4243,100,0,2990
0.007654939,24.8,25.56,28.96,33.96,820,1916,100,8,650
0.020371735,24.92,25.68,29.22,34.55,751,5502,100,3,3120
0.027445383,26.31,25.8,29.26,34.26,736,5973,100,2,3380
0.002997506,25.44,25.68,29.26,33.96,883,1742,100,4,325
0.015653877,24.48,25.76,29.14,33.67,792,2478,100,0,1105
0.028471533,24.56,25.68,29.03,34.55,699,3752,100,8,3055
0.014644842,24.88,25.68,29.14,33.67,771,2544,100,9,975
0.034957666,25.12,25.76,29.11,33.96,580,18549,100,7,3900
0.027081264,28.27,25.8,29.22,34.26,688,9347,100,4,4030
0.024284352,26.51,25.88,29.07,33.96,757,3378,100,8,2600
0.019865075,25.6,25.99,29.22,34.26,755,6516,100,4,2730
0.025804097,25.8,25.88,28.88,34.26,751,3576,100,8,2925
0.004542273,25.32,25.88,29.22,34.55,810,2360,100,5,650
0.008077058,24.96,25.8,29.07,33.67,810,2880,100,4,910
0.052783698,25.08,25.8,29.11,33.96,619,6079,100,9,3770
0.018121175,25.92,26.03,28.99,33.96,760,2830,100,9,1170
0.029843396,25.32,25.72,29.14,33.96,686,15743,100,7,3315
0.011278857,28.42,26.31,29.07,33.67,795,3570,100,3,1625
0.003756817,26.04,26.15,29.25,34.26,792,2848,100,7,585
0.004160564,25.16,26.03,29.33,33.96,837,2011,100,3,520
0.000993804,24.88,25.99,29.37,34.26,1241,1479,100,5,195
0.024306551,24.52,25.84,29.22,35.13,809,3366,100,8,2535
0.038504977,25,25.76,29.26,34.26,480,4582,100,1,3380
0.011906075,25.16,25.72,29.22,34.84,753,3929,100,4,1430
0.01188407,25.28,25.72,29.14,34.26,801,5218,100,5,2080
0.018215716,25.84,25.8,29.11,34.55,1009,6134,100,4,2535
0.0260766,25.76,25.88,29.26,34.55,787,5740,100,2,3250
0.0364663,25.88,26.03,29.22,34.26,777,4537,100,9,2600
0.001494526,25.68,25.92,29.29,34.55,1046,1427,100,1,130
0.034240607,24.44,25.72,29.22,33.67,589,4350,100,8,3900
0.01226044,25.48,25.52,29.22,33.67,785,3752,100,3,1820
0.004299744,25.84,25.6,29.22,34.26,827,2001,100,3,455
0.013286303,24.88,25.72,29.29,34.55,790,5749,100,5,2340
0.004169642,25.76,25.76,29.22,34.55,773,3016,100,7,650
0.012451853,25.04,25.92,29.11,34.26,781,6879,100,7,1430
0.02396155,26,25.92,29.26,35.13,692,8208,100,4,3575
0.003046857,26.11,25.92,29.07,34.26,815,2601,100,7,520
0.029816752,25.04,26.03,29.07,34.26,539,3857,100,1,2535
0.008243953,24.96,26.03,29.22,33.96,798,2397,100,2,780
0.028589049,24.76,25.84,29.07,34.26,733,6337,100,2,3640
0.014759941,25.48,25.92,29.22,33.96,783,2543,100,1,1170
0.046478398,24.8,25.92,29.22,34.55,377,4952,100,0,3900
0.02348013,25.04,25.92,29.07,34.26,795,7809,100,4,3380
0.00540545,26.07,25.92,29.11,34.55,821,4739,100,6,975
0.003797043,26.07,25.8,29.29,34.26,834,2084,100,5,520
0.03201963,25,25.84,29.22,34.26,540,3812,100,0,2600
0.018520271,24.96,25.88,29.22,34.55,754,4399,100,2,2210
0.004387507,25.4,25.88,29.22,34.26,813,4102,100,6,780
0.029953619,25.76,25.92,29.07,33.96,588,3824,100,1,2600
0.000206783,24.96,25.88,29.22,34.26,2198,1348,100,4,65
0.002732387,24.4,25.64,29.18,34.55,865,2909,100,6,520
0.032386996,25.04,25.64,29.03,33.96,536,4059,100,1,2795
0.01584346,24.76,25.68,29.03,34.26,774,5199,100,4,2015
0.018876819,25.52,25.76,28.96,33.96,754,5216,100,3,2925
0.017824996,26.31,25.68,29.26,34.26,764,5774,100,4,2340
0.016606888,25.48,25.8,29.22,34.26,770,5407,100,4,2145
0.00970181,25.44,25.92,29.22,33.67,758,3222,100,3,1430
0.051801693,25.56,25.72,29.44,34.26,618,6332,100,9,4030
0.011942712,26.23,25.48,29.33,34.26,788,3730,100,3,1755
0.028852236,25.68,25.68,29.41,34.26,731,6625,100,2,3835
0.007021897,25.76,25.8,29.26,34.26,776,2219,100,2,650
0.027921703,24.92,25.8,29.26,34.55,582,6413,100,2,3705
0.022195499,25.72,26.15,29.22,34.55,797,11842,100,7,2470
0.037316445,27.97,25.99,29.22,34.55,529,20266,100,7,4030
0.014055521,29.54,26.31,29.22,33.67,832,4746,100,4,1820
0.021417242,25.84,26.31,29.22,33.96,764,3253,100,8,2340
0.03360381,25.56,26.31,29.22,34.26,588,4383,100,8,3965
0.028652228,25.72,26.11,29.22,34.55,687,15166,100,7,3185
0.016846113,28.91,26.39,28.99,33.96,810,4753,100,3,2600
0.014172565,26.85,26.66,29.22,33.96,773,4177,100,3,2145
0.015204325,26.23,26.23,29.37,34.26,826,4977,100,4,1950
0.03478704,25.72,26.23,29.25,34.55,533,4280,100,1,2990
0.026753614,25.4,26.03,29.33,34.55,785,3801,100,9,2015
0.039315633,25.56,26.03,29.4,34.55,432,4365,100,0,3250
0.024946272,25.56,26.03,29.4,34.26,742,8347,100,4,3640
2.32E-05,26.23,25.99,29.37,34.55,1092,1304,100,8,0
0.014744159,24.24,25.44,28.92,33.67,803,2533,100,8,1430
0.010752586,24.48,25.44,28.96,33.67,764,4645,100,5,1820
0.02496597,25.24,25.56,28.77,33.96,696,3419,100,1,2145
0.007410464,24.88,25.52,28.88,34.26,780,6199,100,6,1300
0.046954226,26.19,25.44,28.77,34.26,376,5017,100,0,4030
0.018212307,25.12,25.68,28.84,33.67,756,5101,100,3,2795
0.016877921,26.43,25.4,28.99,33.96,762,4748,100,3,2535
0.01377718,26.74,25.56,29.37,33.67,771,10722,100,6,2405
0.004836759,27.82,25.64,29.14,33.67,1425,2105,100,4,520
0.009161116,24.88,25.64,29.03,33.96,838,4016,100,5,1495
0.007641736,25.44,25.76,29.07,34.26,822,2746,100,4,845
0.012842873,24.84,25.56,28.88,33.67,786,3218,100,2,1365
0.020426754,25.32,25.52,29.22,34.84,800,5576,100,3,3185
0.009850518,26.39,25.72,29.22,34.26,834,2106,100,1,715
0.051885646,24.84,25.6,29.07,34.26,617,6392,100,9,4095
0.02511438,26.23,25.64,29.22,33.67,792,13347,100,7,2795
0.032259632,27.85,25.92,29.07,34.26,632,17232,100,7,3640
0.041927814,29.28,26.15,29.22,34.55,774,5040,100,9,2990
