led,intensity,S,M,L,Rods,Mel
0,0,5.538015021969879e-12,2.601014881388729e-07,1.098805154442686e-06,2.015170683579675e-08,2.6543576347776032e-09
0,65,0.03926632864765147,0.00296413221745661,0.0021316109894662567,0.010475630716341128,0.013371042848215536
0,130,0.12194494664385092,0.0096641093312097,0.007122147172817258,0.033225910225452494,0.04230921633020777
0,195,0.2363640680986568,0.02187113573010992,0.01766679969464471,0.06688923835848173,0.08413656674788816
0,260,0.457671315553981,0.04615385442600843,0.038612701404385615,0.13302428905234157,0.16604997125967455
0,325,0.5018737677262505,0.05069922997047789,0.04247245834245668,0.14583842914157225,0.18203571855657819
0,390,0.6387874958714834,0.06513202093043752,0.054688338558509554,0.18633392712003077,0.23238248129938296
0,455,0.6414734606733729,0.06502421331001049,0.05444405440472343,0.18684549046899862,0.23313561243691516
0,520,0.815240242214284,0.08455077387042262,0.0713773805081051,0.23926652929229075,0.29790783694929807
0,585,0.816128944234514,0.08478132858713,0.07163917965890569,0.23965670852907417,0.2983551105486085
0,650,0.991322586299607,0.10419941640777143,0.08836056339738897,0.29238492859738263,0.36356919100518764
0,715,0.9940709798991347,0.10514076685442218,0.08934734588668976,0.29373025847480194,0.3650171178807097
0,780,1.086151363688225,0.11385374253661362,0.09641704654062089,0.3202041979802539,0.3982666233809256
0,845,1.1698651817594239,0.12348874889949792,0.1047995900519554,0.34586840058419915,0.4298798324161507
0,910,1.175162532082724,0.124318105084826,0.10563439648795464,0.3474641519614916,0.4318104547368567
0,975,1.343461283875167,0.14218494642625792,0.12065303823806121,0.3977768475914097,0.49423968059448276
0,1040,1.3491771326806368,0.14269621662680812,0.121120147784027,0.39916368970393556,0.49603193568398124
0,1105,1.5032640671316368,0.15951538483816058,0.1353575334825024,0.4457948395972488,0.5537175855880146
0,1170,1.5249872140201457,0.1610496489727607,0.13636464572328405,0.45169894990867765,0.5613028125005171
0,1235,1.5860444024738474,0.1674441968526188,0.14174771302671316,0.4696682377142614,0.5836801000903099
0,1300,1.700900854972749,0.18033457397841018,0.15281228991086207,0.5046888206858708,0.626892381819645
0,1365,1.7088497632714945,0.18105313080102606,0.1533726921885171,0.5069652290930575,0.62976805777639
0,1430,1.8762012916008464,0.20070333000555315,0.17030340170310468,0.5590355532689398,0.6937008342543372
0,1495,1.8884088598473263,0.20214480145551297,0.17154523175453334,0.5627073358961999,0.6982166556947158
0,1560,1.9974149385804536,0.2123911658516871,0.17972136749120948,0.5943893046117957,0.7379617058491127
0,1625,2.0698416315642096,0.22290806291922344,0.18948302895516966,0.6186904162643398,0.767177518894139
0,1690,2.0782455721167716,0.22359697688048152,0.18989413362025498,0.6210822728235568,0.7701764946518865
0,1755,2.2360225266078615,0.23914048158819845,0.20248812870848562,0.6672437784263416,0.827853689180287
0,1820,2.2487089020872957,0.24029056744064434,0.2033274600295148,0.6711060785435067,0.8327103266288868
0,1885,2.4109657071750243,0.2603847713557827,0.22093142803688084,0.7225953609172048,0.895585110921138
0,1950,2.433621697878233,0.26254702647908845,0.2228006422607289,0.7289877519877663,0.9036191889805959
0,2015,2.498035191809805,0.26795016906174385,0.22691010946238233,0.7469794827974147,0.9264140484077668
0,2080,2.604750263644526,0.279810805387765,0.23673196150427714,0.7799319030727471,0.9670591666062569
0,2145,2.6129907521149116,0.2798001409603385,0.23660389223539696,0.7813096519087296,0.9691196340350811
0,2210,2.773729659926546,0.2990573619911803,0.25325894104538604,0.8317922995603301,1.0310073285446695
0,2275,2.7950111339658794,0.3007968157570393,0.25436224455830114,0.8382721976130059,1.0391155660758429
0,2340,2.9035015371375494,0.3143894428399842,0.26650391921627975,0.8725163151143067,1.080907158884364
0,2405,2.9756341390678585,0.3210493878808643,0.27156012364582927,0.8939479367788968,1.1078201806155155
0,2470,2.9841194660750143,0.3218104900457083,0.2722318963741903,0.895812757654526,1.1102125042146118
0,2535,3.1389273815077914,0.3384180847246533,0.28547946781222416,0.9441174444087884,1.1698650167657745
0,2600,3.1578630019665597,0.33932899514199005,0.2861891008986568,0.9480936106114101,1.1752514158698582
0,2665,3.2911903082091194,0.35195338829464756,0.2960590474858346,0.9870387746842875,1.2240181515264328
0,2730,3.3321183724131225,0.35760322989242815,0.3009080527848186,1.0013501232955286,1.2412180392189158
0,2795,3.392235623106179,0.3673153408731541,0.3102150127828523,1.0220858608814924,1.2658983144822968
