led,intensity,S,M,L,Rods,Mel
0,0,2.4446252226584066,67.10376163808442,78.39998715285444,43.557495045537216,28.944997789150953
0,65,70.21116833542277,11.285390842805333,11.535800823423083,24.080984251467246,28.601373188902894
0,130,231.40251468447326,27.911782471641303,23.972698000534095,72.70587013800562,88.85038182102386
0,195,446.0187825587189,42.94832634451943,33.440745935697514,134.0339460745677,167.682452417726
0,260,856.2711609370294,87.23937672999297,70.4501656896593,259.2520063494996,323.2685826173085
0,325,945.0239010135738,89.06981097228537,68.27551139499948,280.46314910900094,351.7878971044696
0,390,1210.8313114223981,112.97259459552058,83.21743484837114,362.8238236873561,454.79832447694474
0,455,1208.471882553694,119.65632858137923,94.01182156825482,364.8290289025755,455.87277819065713
0,520,1514.074484673936,146.5960015902813,111.15241580596893,457.31284380983607,571.5821426587144
0,585,1542.6558449511576,140.60968573367947,101.81534343718687,459.93462047823664,577.9357011996635
0,650,1866.5339436817972,179.4027510890129,133.52257739967337,564.551536097623,706.261685838248
0,715,1859.0152816418058,174.17318294272943,125.95562490256921,559.5191402676002,700.683732675838
0,780,2050.5974186236017,187.98459704318373,136.2736600226362,612.627130167036,769.382031073726
0,845,2023.439151830097,200.86843966858962,160.28900710311515,602.6822833674164,751.7684807000895
0,910,2214.8902838428726,213.38376592726672,160.63785326383316,670.6252363332117,838.7159706687632
0,975,2550.8591127720274,251.79356839567026,192.29189552118345,773.9767944470681,966.16371150989
0,1040,2555.458063557731,247.92825800222388,186.13688585310177,774.2562172772397,967.4539222582979
0,1105,2852.5470882805434,283.5536747617955,218.99345260458963,868.2609119880165,1083.308243838362
0,1170,2878.155923139903,288.78893648501963,223.98990769494245,879.4880299675283,1096.2154742958328
0,1235,2993.0395781904267,287.07270131676125,211.77292275861979,909.3325230238518,1136.9781111608845
0,1300,3154.379673250392,303.63162386209143,229.42428416189415,955.1570473422967,1194.6918160764249
0,1365,3248.0867136064085,313.15354658335013,236.11265672035867,982.66652939831,1229.1014335553803
0,1430,3490.9170158452325,326.1951862528426,240.94154296789972,1051.7168503381606,1319.6731587399668
0,1495,3489.099081472485,348.94064265645324,268.72898497264856,1064.5144409522825,1327.2857459148286
0,1560,3690.261477264843,357.20710322356354,266.98387123770505,1119.0440800661272,1398.4422029199425
0,1625,3806.272093393501,357.6179594496182,265.26290438470187,1145.9098091839646,1436.5928304159302
0,1690,3831.216249047962,364.79541993180106,271.8909583516508,1159.8896065927147,1452.2273261199878
0,1755,4178.8258959856785,406.53112200239536,305.05199378351915,1273.2356003440523,1591.3200391372648
0,1820,3741.0829811668527,347.5323752859611,262.9671343817986,1099.51104500315,1383.987406581808
0,1885,4475.116388003608,435.4687084807045,329.2486750001508,1361.9115323683247,1702.551371572432
0,1950,4535.814224215419,442.43690365079254,331.5018380043443,1385.6966157024465,1730.577384361368
0,2015,4664.762102463143,457.99976079051316,341.7887746337554,1433.951562533198,1790.1412176382073
0,2080,4834.071371228224,465.58627535856135,345.14155555961605,1475.4382457903525,1844.7231975941115
0,2145,5018.099711838121,483.9726802673501,357.92640140073536,1533.6823603250104,1917.768468012227
0,2210,5151.3141713105315,500.1273827178364,369.6284049276369,1575.0078928162081,1967.3281388595926
0,2275,5173.1153271684825,499.040488932898,374.9911857268307,1569.7840174681712,1962.4996470921833
