board_temp,micro_temp,integration_time,model,led,intensity
31.62849426,55.93994904,640000,STS,2,2470
31.62849426,56.13769531,1152000,STS,0,1430
31.62849426,56.73095703,768000,STS,3,2340
31.62849426,56.92871857,384000,STS,6,3835
31.74220657,56.92871857,448000,STS,9,1690
31.74220657,57.12646484,448000,STS,4,2860
31.74220657,57.32421875,512000,STS,3,3705
31.74220657,57.32421875,256000,STS,9,3250
31.74220657,57.71972656,1152000,STS,8,975
31.85611153,57.9174881,1024000,STS,1,1300
31.97021294,58.70849609,14336000,STS,6,195
32.08451462,59.10400391,512000,STS,6,2665
32.08451462,59.10400391,896000,STS,0,2015
32.19901276,59.10400391,896000,STS,0,1885
32.19901276,58.90625763,1152000,STS,7,1040
32.31371307,59.30175781,2560000,STS,0,585
32.42861176,59.49951172,10240000,STS,7,260
32.42861176,59.69726563,768000,STS,0,2145
32.54372025,59.69726563,896000,STS,2,1495
32.54372025,59.69726563,1024000,STS,5,1365
32.54372025,59.89502716,2304000,STS,6,650
32.54372025,59.89502716,896000,STS,5,1690
32.65903473,59.89502716,512000,STS,3,3510
32.65903473,59.89502716,512000,STS,5,3120
32.65903473,59.89502716,512000,STS,9,1430
32.65903473,60.09277344,1024000,STS,4,1040
32.65903473,59.89502716,448000,STS,8,2860
32.65903473,59.69726563,384000,STS,4,3510
32.77455521,59.69726563,896000,STS,5,1755
32.77455521,60.09277344,1792000,STS,0,780
32.77455521,59.89502716,640000,STS,3,2730
32.77455521,60.09277344,896000,STS,8,1235
32.77455521,60.09277344,640000,STS,7,1755
32.77455521,60.09277344,352000,STS,8,4095
32.89028549,59.89502716,384000,STS,1,3965
32.89028549,60.09277344,1280000,STS,3,1300
32.89028549,60.09277344,704000,STS,5,2145
32.89028549,60.29052734,2816000,STS,5,390
33.00622559,60.09277344,416000,STS,6,3510
33.00622559,60.09277344,352000,STS,6,4095
33.00622559,60.29052734,768000,STS,7,1495
33.00622559,60.09277344,1024000,STS,3,1690
33.00622559,60.29052734,448000,STS,4,2600
33.00622559,60.29052734,416000,STS,9,1755
33.00622559,60.09277344,512000,STS,3,3575
33.1223793,60.29052734,576000,STS,6,2600
33.1223793,60.48828125,416000,STS,4,3120
33.1223793,60.29052734,896000,STS,2,1560
33.35533524,60.68603516,49152000,STS,5,65
33.47213745,60.68603516,1280000,STS,9,520
33.47213745,60.68603516,320000,STS,9,2405
33.47213745,60.68603516,224000,STS,9,3510
33.47213745,60.68603516,384000,STS,7,2860
33.58916092,60.68603516,704000,STS,2,2080
33.58916092,60.68603516,2560000,STS,2,325
33.58916092,60.68603516,448000,STS,4,2925
33.58916092,60.68603516,256000,STS,9,2795
33.58916092,60.88379669,1536000,STS,7,845
33.58916092,60.88379669,448000,STS,1,3445
33.58916092,60.88379669,576000,STS,0,3185
33.58916092,60.88379669,224000,STS,9,3380
33.70640564,60.88379669,85000000,STS,7,65
33.82387543,61.08154297,2560000,STS,2,390
33.82387543,61.08154297,448000,STS,5,3640
33.82387543,61.27929688,896000,STS,0,1755
33.94156647,61.08154297,1536000,STS,8,585
33.94156647,61.08154297,1536000,STS,6,910
33.94156647,61.27929688,1536000,STS,1,845
33.94156647,61.08154297,512000,STS,0,3380
33.94156647,61.27929688,512000,STS,7,2145
33.94156647,61.27929688,1024000,STS,2,1430
33.94156647,61.08154297,1280000,STS,5,1040
33.94156647,61.27929688,896000,STS,5,1625
33.94156647,61.27929688,896000,STS,8,1170
33.94156647,60.88379669,256000,STS,9,3055
34.05948639,61.08154297,14336000,STS,0,130
33.94156647,61.27929688,576000,STS,1,2340
34.05948639,61.27929688,1536000,STS,4,585
34.05948639,61.47705078,448000,STS,3,4095
34.05948639,61.27929688,640000,STS,5,2600
34.05948639,61.27929688,12288000,STS,2,130
34.05948639,60.88379669,352000,STS,9,2080
34.05948639,61.27929688,384000,STS,7,2925
34.05948639,61.27929688,288000,STS,9,2665
34.05948639,61.27929688,1280000,STS,6,1170
34.05948639,61.27929688,8192000,STS,0,195
34.05948639,61.08154297,704000,STS,5,2210
34.05948639,61.27929688,384000,STS,8,3185
34.05948639,61.27929688,896000,STS,8,1300
34.05948639,61.27929688,12288000,STS,5,130
34.05948639,61.27929688,448000,STS,4,2795
34.05948639,61.47705078,6144000,STS,1,195
34.17763519,61.27929688,832000,STS,2,1690
34.05948639,61.27929688,768000,STS,6,1820
34.05948639,61.27929688,512000,STS,2,3055
34.05948639,61.27929688,896000,STS,0,1820
34.05948639,61.47705078,640000,STS,3,2990
34.05948639,61.27929688,896000,STS,0,1950
34.17763519,61.27929688,768000,STS,5,1885
34.17763519,61.27929688,1536000,STS,5,845
34.05948639,61.27929688,85000000,STS,6,0
34.05948639,61.27929688,1536000,STS,0,1040
34.05948639,61.47705078,448000,STS,5,3965
34.17763519,61.27929688,768000,STS,8,1560
34.05948639,61.27929688,4608000,STS,6,390
34.05948639,61.47705078,320000,STS,7,3250
34.17763519,61.47705078,2560000,STS,6,585
34.05948639,61.47705078,512000,STS,0,3770
34.05948639,61.27929688,288000,STS,7,3705
34.17763519,61.27929688,3072000,STS,0,390
34.17763519,61.47705078,1280000,STS,0,1365
34.17763519,61.47705078,384000,STS,4,3445
34.17763519,61.27929688,640000,STS,2,2405
34.17763519,61.47705078,1024000,STS,5,1430
34.17763519,61.47705078,1024000,STS,9,585
34.17763519,61.27929688,1536000,STS,3,1040
34.17763519,61.27929688,576000,STS,4,2080
34.17763519,61.47705078,896000,STS,3,2080
34.17763519,61.47705078,1536000,STS,9,390
34.17763519,61.47705078,1536000,STS,4,650
34.17763519,61.47705078,1280000,STS,1,1040
34.17763519,61.47705078,1536000,STS,3,1105
34.17763519,61.27929688,768000,STS,2,2015
34.17763519,61.47705078,448000,STS,7,2275
34.17763519,61.27929688,384000,STS,7,2665
34.17763519,61.27929688,352000,STS,6,4030
34.17763519,61.27929688,640000,STS,9,1040
34.17763519,61.27929688,1024000,STS,5,1300
34.17763519,61.27929688,3584000,STS,4,260
34.17763519,61.47705078,1792000,STS,3,780
34.17763519,61.47705078,448000,STS,9,1625
34.17763519,61.47705078,384000,STS,2,3900
34.17763519,61.47705078,1152000,STS,3,1560
34.17763519,61.08154297,448000,STS,6,3315
34.17763519,61.27929688,512000,STS,4,2470
34.17763519,61.47705078,1152000,STS,2,1040
34.17763519,61.27929688,896000,STS,6,1625
34.17763519,61.47705078,1024000,STS,2,1300
34.17763519,61.47705078,640000,STS,6,2145
34.17763519,61.47705078,768000,STS,4,1495
